permission_id,permission_category,permission_description,permission (as in AndroidManifest.xml),,Number of apps requested,Privilegged app only?,details,Decision,Investigation result
287,Other,Google Calendar,com.google.android.googleapps.permission.GOOGLE_AUTH.cl,,19,,Allows apps to sign in to Google Calendar using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
288,Other,Dodgeball,com.google.android.googleapps.permission.GOOGLE_AUTH.dodgeball,,19,,Allows apps to sign in to Dodgeball using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
289,Other,Google Finance,com.google.android.googleapps.permission.GOOGLE_AUTH.finance,,19,,Allows apps to sign in to Google Finance using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
290,Other,Google Base,com.google.android.googleapps.permission.GOOGLE_AUTH.gbase,,19,,Allows apps to sign in to Google Base using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
291,Other,Google Voice,com.google.android.googleapps.permission.GOOGLE_AUTH.grandcentral,,19,,Allows apps to sign in to Google Voice using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
292,Other,Google Groups,com.google.android.googleapps.permission.GOOGLE_AUTH.groups2,,19,,Allows apps to sign in to Google Groups using the account(s) stored on this Android device,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
293,Other,Google Health,com.google.android.googleapps.permission.GOOGLE_AUTH.health,,19,,Allows apps to sign in to Google Health using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
294,Other,iGoogle accounts,com.google.android.googleapps.permission.GOOGLE_AUTH.ig,,19,,Allows apps to sign in to iGoogle using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
295,Other,JotSpot,com.google.android.googleapps.permission.GOOGLE_AUTH.jotspot,,19,,Allows apps to sign in to JotSpot using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
296,Other,Knol,com.google.android.googleapps.permission.GOOGLE_AUTH.knol,,19,,Allows apps to sign in to Knol using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
297,Other,Picasa Web Albums,com.google.android.googleapps.permission.GOOGLE_AUTH.lh2,,19,,Allows apps to sign in to Picasa Web Albums using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
298,Other,Google mobile apps,com.google.android.googleapps.permission.GOOGLE_AUTH.mobile,,19,,Allows apps to sign in to Google mobile apps using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
299,Other,Google News,com.google.android.googleapps.permission.GOOGLE_AUTH.news,,19,,Allows apps to sign in to Google News using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
300,Other,Google Notebook,com.google.android.googleapps.permission.GOOGLE_AUTH.notebook,,19,,Allows apps to sign in to Google Notebook using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
301,Other,Orkut,com.google.android.googleapps.permission.GOOGLE_AUTH.orkut,,19,,Allows apps to sign in to Orkut using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
302,Other,Google Book Search,com.google.android.googleapps.permission.GOOGLE_AUTH.print,,19,,Allows apps to sign in to Google Book Search using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
303,Other,Google Webmaster Tools,com.google.android.googleapps.permission.GOOGLE_AUTH.sitemaps,,19,,Allows apps to sign in to Google Webmaster Tools using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
304,Other,Google Voice Search,com.google.android.googleapps.permission.GOOGLE_AUTH.speech,,19,,Allows apps to sign in to Google Voice Search using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
305,Other,Personalized Speech Recognition,com.google.android.googleapps.permission.GOOGLE_AUTH.speechpersonalization,,19,,Allows apps to sign in to the Personalized Speech Recognition service using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
306,Other,Google Talk,com.google.android.googleapps.permission.GOOGLE_AUTH.talk,,19,,Allows apps to sign in to Google Talk using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
307,Other,Google Wi-Fi,com.google.android.googleapps.permission.GOOGLE_AUTH.wifi,,19,,Allows apps to sign in to Google Wi-Fi using the account(s) stored on this Android device.,ok for Google apps; others need explanation,"Apart from the Google app, also needed by cloner for account access?"
308,Other,access content providers externally,android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY,,4,Yes,Allows the holder to access content providers from the shell. Should never be needed for normal apps.,need explanation - access content providers,"This permission is required if an application wants to access content providers from outside of its own process, such as to access a content provider from another application or to access a content provider from a different user. (Google-PaLM)"
309,Other,get information on internal storage,android.permission.ASEC_ACCESS,,1,Yes,Allows the app to get information on internal storage.,need explanation - large storage needed,"https://android.stackexchange.com/questions/155565/what-does-mnt-asec-directory-contain
ASEC (Android Secure External Cache) - implemented in a time when Android devices come with limited storage and has to resort to external storage (i.e. SD card) for apps, and its purpose is to securely store part of the apps so as to prevent corruption and piracy by copying SD card contents.
From Wikipedia: Applications moved to an SD card use an ASEC extension. These files can then be found under the .android_secure folder on the SD card. If an application must be moved from memory back to its device’s local storage, the file is decrypted from the ASEC file format to a basic APK (Android Package) file format.
To achieve ""Move to SD card"" feature.
Also used in Android 4.1 as ""Forward Locking"" (to protect paid apps not to be copied and shared)
However, ASEC container management (creating, deleting, mounting, and unmounting) is (should be) implemented in the system volume daemon (vold)"
310,Other,create internal storage,android.permission.ASEC_CREATE,,1,Yes,Allows the app to create internal storage.,need explanation - large storage needed,same as 309
311,Other,destroy internal storage,android.permission.ASEC_DESTROY,,1,Yes,Allows the app to destroy internal storage.,need explanation - large storage needed,same as 309
312,Other,mount/unmount internal storage,android.permission.ASEC_MOUNT_UNMOUNT,,1,Yes,Allows the app to mount/unmount internal storage.,need explanation - large storage needed,same as 309
313,Other,rename internal storage,android.permission.ASEC_RENAME,,1,Yes,Allows the app to rename internal storage.,need explanation - large storage needed,same as 309
314,Other,modify your contacts,android.permission.WRITE_CONTACTS,,1,,"Allows the app to modify the data about your contacts stored on your phone, including the frequency with which you\'ve called, emailed, or communicated in other ways with specific contacts. This permission allows apps to delete contact data.","Phone, Message, Email, System; others need explanation - social media app, backup contact
Same as 102",
315,Other,change background data usage setting,android.permission.CHANGE_BACKGROUND_DATA_SETTING,,2,Yes,Allows the app to change the background data usage setting.,"need explanation - device/app management, data usage","The background data setting in Android controls whether apps can use data in the background. When background data is enabled, apps can use data even when they are not open or in use. This can be useful for apps that need to stay up-to-date with new information, such as news apps or weather apps. However, it can also lead to increased data usage, so it's important to be aware of which apps are using background data and to disable it for apps that you don't need. (Google-PaLM)"
316,Other,freeze screen,android.permission.FREEZE_SCREEN,,1,Yes,Allows the application to temporarily freeze the screen for a full-screen transition.,"need explanation - device management, security",to prevent the user from interacting with the device or to prevent the device from going to sleep (Google-PaLM)
317,Other,bind to a condition provider service,android.permission.BIND_CONDITION_PROVIDER_SERVICE,,1,Yes,Allows the holder to bind to the top-level interface of a condition provider service. Should never be needed for normal apps.,"need explanation - device management, notification","Protection level: signature
Condition Providers are components in the Android system that provide information about the current device context or conditions that can be used by other apps or system components. (ChatGPT)
The condition provider service is a system service that provides information about the current condition of the device. The condition provider service can be used to get information about the battery level, the network connection, and the screen state. The condition provider service can also be used to change the condition of the device, such as to turn on the flashlight or to turn off the Wi-Fi connection.(Google-PaLM)"
,,,,,,,,,
,,,,,,,,,
"""signature""-level - means you must be signed by the same key as the Android system ROM in order to be able to take such a screenshot.
(ref:https://stackoverflow.com/questions/12462944/how-to-take-a-screenshot-of-other-app-programmatically-without-root-permission)",,,,,,,,,
"Bind to a service - means creating a connection between your application and a service that is running in the background. This allows your application to interact with the service and access its functionality. 
Once you have bound to a service, you can call its methods and access its fields. You can also receive callbacks from the service when its state changes.
Binding to a service is a powerful way to interact with background services in Android. However, it is important to note that binding to a service can be expensive in terms of performance. Therefore, you should only bind to a service when you need to access its functionality. (Google-PaLM)

When a client binds to a service, it creates a long-term association with the service, enabling ongoing interaction. This is typically done by calling the bindService() method, passing an Intent to specify the service to bind to. (ChatGPT)",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
